p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,pid,is_churned
4,5,4,1,6,2,2,0,0,1,1,1,3,3,3,4,2,4,3,4,2,2,2,2,1,5,5,5,3,4,4,3,3,2,3,3,2,2,2,5,5,4,5,5,3,4,3,3,3,10002,0
,4,3,6,5,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,3,4,4,4,4,40002,0
,4,3,1,2,1,1,4,5,1,4,1,4,3,3,3,2,2,4,4,3,3,4,1,5,5,5,5,5,2,2,2,4,3,5,3,5,3,4,5,5,5,5,5,3,2,2,2,3,40004,0
5,4,3,1,5,4,2,3,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100001,0
,4,3,2,5,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,100002,0
,1,2,1,2,3,1,1,1,1,1,1,5,5,5,5,5,2,3,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,3,3,2,100003,0
4,4,3,1,6,1,1,0,0,1,1,1,4,4,4,4,3,4,4,4,4,3,3,2,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,120001,0
4,3,3,1,6,1,1,0,0,1,3,1,3,4,4,3,3,4,4,3,3,2,2,2,2,4,4,4,3,3,4,4,2,2,3,3,2,2,2,5,4,4,4,5,2,3,2,2,3,120002,0
4,5,3,1,4,1,1,0,0,1,2,1,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,4,4,2,4,3,4,120003,0
4,4,3,1,4,2,2,0,0,1,4,1,5,5,5,5,5,5,5,5,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,5,5,3,2,2,4,3,120004,0
2,6,4,5,7,1,2,0,0,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,5,4,4,3,3,2,2,3,3,2,2,3,2,3,4,3,3,3,3,2,2,3,2,3,300001,1
2,7,4,4,4,3,3,0,0,1,1,1,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,3,4,4,3,3,4,4,3,3,4,300002,0
4,8,4,1,4,3,2,0,0,1,1,1,4,3,3,4,5,4,4,5,5,4,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,4,5,4,5,5,4,4,4,4,3,3,4,300003,1
2,7,3,4,7,1,2,0,0,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,5,4,3,2,2,3,3,2,2,3,2,2,1,1,2,3,3,2,2,4,3,3,4,3,310002,1
2,7,4,5,4,3,2,0,0,1,1,1,5,4,4,5,4,4,5,5,4,4,5,4,5,5,4,4,3,4,4,5,4,4,3,3,4,5,4,4,5,5,4,4,4,4,3,3,4,310003,0
1,7,4,5,6,1,2,0,0,1,1,1,3,3,2,2,3,3,2,2,3,3,2,2,3,4,3,3,2,2,1,1,2,2,3,2,2,1,2,3,4,4,3,3,2,2,3,2,3,340002,0
4,7,4,5,6,3,3,0,0,2,1,2,3,3,3,2,3,3,4,4,4,3,3,4,3,4,5,4,5,4,4,4,4,4,3,4,5,4,4,5,5,4,5,5,4,3,3,3,3,360001,0
3,5,4,5,5,2,2,1,1,1,1,1,2,2,3,3,2,3,3,2,3,2,3,3,2,4,4,4,3,3,3,3,4,4,3,3,2,2,1,4,3,4,3,4,3,4,3,3,3,360002,0
2,7,4,2,5,3,3,1,1,1,1,2,4,5,4,4,3,4,4,4,5,4,4,4,3,4,4,4,5,4,4,4,3,4,4,3,4,4,4,4,4,3,5,4,3,2,3,2,3,380001,1
5,7,4,1,5,3,4,4,4,4,4,1,5,5,4,4,4,4,5,3,3,4,4,3,3,5,4,5,4,5,4,4,4,4,3,4,4,3,3,4,5,5,4,4,3,3,3,3,3,380002,1
1,5,4,1,3,4,2,4,3,1,3,2,4,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,4,4,5,5,5,390002,0
,5,4,5,6,3,1,0,0,1,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,1,4,4,4,4,4,4,4,390004,0
,4,4,1,2,3,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,2,1,1,1,410003,1
6,11,4,5,5,2,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,420002,1
3,4,2,2,4,2,2,1,1,1,1,1,4,5,4,5,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,440003,0
1,3,4,2,4,2,1,1,1,1,1,1,5,5,4,5,4,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,440004,0
4,8,4,6,6,3,3,0,0,1,1,1,3,3,4,5,4,4,4,4,4,4,4,3,3,5,3,4,3,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,4,3,4,4,460001,0
4,7,4,6,5,3,2,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,3,3,460002,0
3,7,4,2,6,2,2,0,0,1,1,1,4,4,4,4,5,5,4,4,5,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,5,5,4,4,4,3,3,4,4,4,490001,0
3,7,4,2,3,3,2,0,0,1,1,1,5,4,4,5,4,4,5,5,5,4,4,4,4,5,5,4,4,5,5,4,5,4,4,5,4,4,4,3,4,4,3,4,4,3,3,3,3,490003,0
