p__i02001,p__i02003,p__c02003,p__c05049,p__c05050,p__c05051,p__l01001,p__j01001,p__a03024,p__a03026,p__d01001,p__d11001,p__d28001,p__d08001,p__d22001,p__d10001,p__d12001,p__a03032,p__d02001,p__d05001,p__d29001,p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,p__c01001,p__a03038,p__l01037,p__d26039,p__d26043,pid,is_churned
1.0,1.0,1.0,2,2,2,2,1,1.0,1.0,5.0,1,2.0,2,1,2,2,2.0,6,1,2.0,4.0,5.0,4.0,1.0,6,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,5,5,5,3,4,4,3,3,2,3,3,2,2,2,5,5,4,5,5,3.0,4.0,3.0,3.0,3.0,47.0,48.0,,190.0,190.0,10002,0
2.0,1.0,1.0,2,2,2,2,1,1.0,1.0,11.0,1,2.0,1,1,2,2,1.0,3,2,2.0,,4.0,3.0,6.0,5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,3.0,4.0,4.0,4.0,4.0,30.0,3.0,,120.0,120.0,40002,0
2.0,2.0,1.0,2,2,2,1,2,2.0,2.0,10.0,1,2.0,1,1,2,2,2.0,13,2,2.0,,4.0,3.0,1.0,2,1.0,1.0,4.0,5.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,5.0,5,5,5,5,2,2,2,4,3,5,3,5,3,4,5,5,5,5,5,3.0,2.0,2.0,2.0,3.0,34.0,6.0,12.0,180.0,300.0,40004,0
1.0,1.0,1.0,1,1,1,1,1,2.0,2.0,10.0,1,2.0,1,1,2,1,1.0,1,1,1.0,5.0,4.0,3.0,1.0,5,4.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,31.0,12.0,30.0,120.0,60.0,100001,0
1.0,1.0,1.0,1,1,1,2,1,1.0,1.0,11.0,1,2.0,1,1,2,2,1.0,1,1,2.0,,4.0,3.0,2.0,5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.0,3.0,3.0,4.0,4.0,34.0,12.0,,60.0,30.0,100002,0
2.0,2.0,1.0,1,1,1,1,2,2.0,2.0,3.0,1,1.0,2,1,2,2,2.0,13,2,2.0,,1.0,2.0,1.0,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.0,1.0,3.0,3.0,2.0,9.0,24.0,36.0,30.0,30.0,100003,0
1.0,1.0,1.0,2,2,2,2,1,1.0,2.0,17.0,1,2.0,1,1,2,2,2.0,1,1,2.0,4.0,4.0,3.0,1.0,6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,4,3.0,3.0,4.0,3.0,3.0,35.0,35.0,,40.0,90.0,120001,0
2.0,2.0,1.0,2,2,2,2,1,1.0,2.0,19.0,2,2.0,2,1,2,2,2.0,6,1,2.0,4.0,3.0,3.0,1.0,6,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4,4,4,3,3,4,4,2,2,3,3,2,2,2,5,4,4,4,5,2.0,3.0,2.0,2.0,3.0,25.0,39.0,,30.0,120.0,120002,0
1.0,1.0,1.0,2,2,2,2,1,1.0,2.0,17.0,2,2.0,1,1,2,1,2.0,13,1,2.0,4.0,5.0,3.0,1.0,4,1.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,4,4.0,2.0,4.0,3.0,4.0,42.0,32.0,,60.0,120.0,120003,0
1.0,1.0,1.0,2,1,1,1,1,1.0,2.0,17.0,1,2.0,1,1,2,1,1.0,6,1,1.0,4.0,4.0,3.0,1.0,4,2.0,2.0,0.0,0.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,5,5,3.0,2.0,2.0,4.0,3.0,32.0,30.0,66.0,60.0,180.0,120004,0
