p__i02001,p__i02003,p__c02003,p__c05049,p__c05050,p__c05051,p__l01001,p__j01001,p__a03024,p__a03026,p__d01001,p__d11001,p__d28001,p__d08001,p__d22001,p__d10001,p__d12001,p__a03032,p__d02001,p__d05001,p__d29001,pid,is_churned
1,1,1,2,2,2,2,1,1,1,5,1,2,2,1,2,2,2,6,1,2,10002,0
2,1,1,2,2,2,2,1,1,1,11,1,2,1,1,2,2,1,3,2,2,40002,0
2,2,1,2,2,2,1,2,2,2,10,1,2,1,1,2,2,2,13,2,2,40004,0
1,1,1,1,1,1,1,1,2,2,10,1,2,1,1,2,1,1,1,1,1,100001,0
1,1,1,1,1,1,2,1,1,1,11,1,2,1,1,2,2,1,1,1,2,100002,0
2,2,1,1,1,1,1,2,2,2,3,1,1,2,1,2,2,2,13,2,2,100003,0
1,1,1,2,2,2,2,1,1,2,17,1,2,1,1,2,2,2,1,1,2,120001,0
2,2,1,2,2,2,2,1,1,2,19,2,2,2,1,2,2,2,6,1,2,120002,0
1,1,1,2,2,2,2,1,1,2,17,2,2,1,1,2,1,2,13,1,2,120003,0
1,1,1,2,1,1,1,1,1,2,17,1,2,1,1,2,1,1,6,1,1,120004,0
1,1,1,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,1,2,2,300001,1
1,1,1,2,1,1,1,1,1,1,9,1,2,1,1,2,2,2,1,2,2,300002,0
1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,6,1,2,300003,1
2,2,1,2,1,2,2,2,1,1,9,2,2,2,1,2,2,2,2,2,2,310002,1
1,1,1,2,1,1,1,1,1,1,9,2,2,1,1,2,2,1,8,1,2,310003,0
1,1,1,2,2,2,2,2,2,2,19,2,2,2,1,2,2,2,2,2,2,340002,0
1,1,2,2,2,2,2,1,1,1,11,2,2,1,1,2,2,2,6,1,2,360001,0
1,1,2,2,2,2,2,2,1,2,18,1,2,1,1,2,2,1,1,1,2,360002,0
1,1,2,2,2,2,1,1,1,1,11,1,2,1,1,2,2,1,6,1,2,380001,1
1,1,2,2,2,2,2,1,1,1,19,1,2,1,1,1,1,1,2,1,2,380002,1
1,1,1,1,1,1,1,1,2,2,16,1,2,1,1,1,1,1,13,2,1,390002,0
1,1,1,2,1,1,1,2,2,2,3,2,2,1,1,2,2,2,1,1,1,390004,0
1,2,1,2,2,2,1,1,2,2,10,1,2,2,1,2,2,2,6,1,2,410003,1
1,1,1,2,2,2,1,2,1,1,4,1,2,1,1,2,2,2,6,2,2,420002,1
2,1,1,2,2,1,1,1,1,2,17,1,2,1,1,2,2,2,6,2,1,440003,0
1,1,1,2,2,1,1,1,2,1,11,1,2,1,1,2,2,1,13,2,1,440004,0
1,1,1,2,2,1,1,2,1,1,11,2,2,1,1,2,2,1,3,1,2,460001,0
1,1,1,2,2,2,2,1,1,1,11,1,2,1,1,2,1,1,1,1,2,460002,0
1,1,1,2,1,1,2,1,1,1,17,1,2,1,1,2,2,2,8,1,2,490001,0
1,1,1,2,1,1,1,1,1,1,24,1,1,1,1,2,2,2,13,1,2,490003,0
1,1,1,2,2,2,2,2,1,1,17,1,2,1,1,2,2,1,14,1,2,520001,0
1,1,1,2,2,2,1,2,1,1,11,1,2,2,1,2,2,2,1,1,2,530003,1
2,2,1,2,2,1,2,2,1,1,9,1,2,1,1,2,2,2,3,1,2,540003,1
1,1,1,2,2,2,2,1,1,1,24,1,2,1,1,2,2,2,6,1,2,550002,1
1,1,1,2,2,1,2,2,1,1,4,1,2,1,1,2,2,1,8,1,1,550003,0
1,1,1,2,2,2,1,2,1,1,14,1,2,1,1,2,1,1,2,1,2,560001,0
1,1,1,2,2,2,1,2,1,1,17,1,2,1,1,2,2,1,14,1,2,560002,0
1,1,1,2,2,2,1,1,1,1,11,1,2,1,1,2,2,1,6,1,2,590001,0
1,1,1,2,2,1,1,1,1,1,16,1,2,1,1,2,1,1,1,1,2,600005,1
2,2,1,2,2,1,1,2,1,1,11,1,2,1,1,2,2,1,14,1,2,610001,0
1,1,1,2,1,1,2,1,1,1,11,1,2,1,1,2,2,2,13,1,2,630001,0
1,1,1,2,1,1,2,1,1,1,11,1,2,1,1,2,2,1,8,1,2,630002,0
1,1,1,2,2,2,2,2,1,1,5,1,2,2,1,2,2,2,6,1,2,660002,0
1,1,1,2,2,2,2,1,1,1,19,1,2,1,1,2,2,2,1,1,2,730002,0
2,1,1,2,2,2,2,2,1,1,3,1,2,1,1,2,2,2,2,1,2,750002,1
1,1,1,2,2,2,2,1,1,1,19,1,2,1,1,2,1,2,1,1,2,830001,0
2,1,1,2,2,2,2,2,1,1,19,1,2,1,1,2,1,2,6,1,2,830002,0
1,1,1,2,2,1,2,1,1,1,17,1,2,1,1,2,1,2,6,1,1,830003,0
1,1,1,1,2,2,2,2,1,1,17,1,2,1,1,2,1,2,1,1,1,890004,0
1,1,1,2,2,2,1,2,1,1,17,1,2,1,1,2,1,2,1,1,2,900002,0
1,1,1,2,2,1,2,2,1,1,17,1,2,1,1,2,1,2,13,1,2,900003,0
1,1,1,2,2,2,1,1,1,1,17,1,2,1,1,2,1,2,1,1,2,900004,0
1,1,1,2,1,1,2,1,1,1,16,1,2,1,1,2,1,2,6,1,2,930004,1
1,1,1,2,1,1,2,1,1,1,17,1,1,1,1,1,1,2,13,1,1,950004,1
1,1,1,2,1,1,2,1,1,1,17,1,2,1,1,1,2,2,1,1,1,960001,1
2,2,1,1,2,1,1,1,1,1,11,1,2,2,1,2,2,2,6,2,2,1010003,0
2,2,1,1,2,1,2,2,1,1,16,1,2,2,1,2,2,2,6,2,2,1010004,0
1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1080003,1
2,1,1,2,2,2,2,2,1,2,11,2,2,2,1,2,2,2,6,1,2,1100002,1
1,1,1,2,2,2,1,2,1,1,5,1,2,1,1,2,2,1,6,1,2,1120002,1
1,1,1,2,2,1,1,2,1,1,16,1,2,1,1,2,2,1,8,1,1,1120003,0
1,1,1,2,2,2,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1160001,1
1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,2,1,1,4,1,1,1160003,1
1,1,1,2,1,2,2,2,1,2,25,1,2,1,1,2,2,1,10,1,1,1170001,1
1,1,1,2,1,2,2,2,1,2,5,1,2,1,1,2,2,2,6,1,2,1170002,1
1,1,1,1,1,1,1,2,1,2,17,1,1,1,1,2,1,1,14,1,1,1170003,0
2,2,1,2,1,2,2,2,1,2,11,1,2,2,1,2,2,1,6,1,1,1180002,0
2,2,1,1,2,2,1,2,1,2,11,2,2,2,1,2,2,2,9,2,2,1180003,0
1,1,1,2,1,1,2,2,1,1,16,1,1,1,1,2,1,2,1,1,2,1210004,1
2,1,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,2,1,1,2,1310001,0
1,1,1,2,1,1,2,2,1,1,9,2,2,1,1,2,2,2,1,1,2,1310002,0
1,1,1,2,1,1,2,2,1,1,9,1,2,1,1,2,2,2,1,1,2,1320101,0
1,1,1,2,1,2,2,2,1,1,9,1,2,1,1,2,2,2,14,1,2,1320102,0
1,1,1,2,2,2,1,1,1,1,17,1,2,1,1,2,2,2,1,1,2,1340001,0
1,1,1,1,1,2,2,1,1,1,17,2,2,1,1,2,1,2,10,1,1,1510003,0
2,2,1,2,2,2,2,2,1,2,17,2,2,2,1,2,2,2,6,1,2,1520002,1
1,1,1,2,2,2,1,1,1,2,17,1,2,1,1,2,1,1,6,1,2,1520004,0
2,2,1,1,2,2,2,1,2,2,3,2,2,1,1,2,1,1,13,1,2,1520005,0
2,2,1,2,2,2,1,1,1,2,17,2,2,1,1,2,2,1,6,1,2,1540002,0
1,1,1,2,2,2,2,1,1,1,17,2,2,1,1,2,1,1,10,1,2,1540003,0
1,1,1,2,1,1,2,1,1,1,17,1,2,1,1,2,2,2,6,1,1,1570001,0
1,1,1,2,1,1,2,1,1,1,17,1,2,1,1,2,2,2,1,1,1,1600001,1
2,1,1,2,1,1,2,1,1,1,9,1,2,1,1,2,2,2,1,1,1,1610001,0
2,2,1,2,1,1,2,2,1,1,9,1,2,1,1,2,2,2,6,1,1,1610002,0
1,1,1,2,1,1,2,1,1,2,11,1,2,1,1,1,2,2,6,1,1,1620001,0
1,1,1,2,1,1,1,1,1,1,17,1,2,1,1,1,2,2,1,1,1,1670001,1
1,1,1,2,1,1,1,1,1,1,11,1,2,1,1,2,2,2,6,1,1,1670002,1
2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,4,1,1,1670003,1
1,1,1,2,1,1,1,1,1,1,9,1,2,1,1,2,2,2,6,1,1,1690001,0
1,1,1,2,1,1,1,1,1,1,10,1,2,1,1,1,2,2,1,1,1,1690002,0
1,2,1,2,1,1,1,1,2,2,17,1,2,1,1,2,2,1,1,1,1,1700001,0
1,1,1,2,1,1,1,1,2,2,17,1,2,1,1,2,2,1,1,1,1,1700002,0
2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1700003,1
1,1,1,2,1,1,2,1,1,1,9,1,2,1,1,2,2,2,1,1,1,1720001,1
1,1,1,2,1,1,2,1,1,1,11,1,2,1,1,1,2,2,1,1,1,1720002,1
1,1,1,2,1,1,2,1,1,1,17,1,2,1,1,1,2,2,6,1,1,1720003,1
1,2,1,2,2,2,2,2,1,1,17,2,2,1,1,2,2,2,3,2,2,1740001,1
1,1,1,2,2,2,2,2,1,1,16,1,2,1,1,2,2,2,6,2,2,1740003,0
1,2,1,2,2,2,2,2,1,1,19,1,2,1,1,2,2,1,2,1,2,1760004,0
2,2,1,2,2,2,2,2,1,1,3,1,2,2,2,2,2,2,13,2,2,1770001,1
2,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,8,2,2,1770002,1
2,1,1,1,2,2,2,2,1,1,17,1,2,1,1,1,2,1,2,1,2,1800001,1
1,1,1,2,2,2,2,2,1,1,17,1,2,1,1,2,2,1,14,1,2,1800002,1
1,1,1,2,2,2,2,2,1,2,17,2,2,1,1,2,2,2,15,1,2,1840001,1
2,2,1,1,2,2,2,2,1,1,3,2,2,1,1,2,1,1,6,1,2,1850001,0
