p__c01001,p__a03038,p__l01037,p__d26039,p__d26043,pid,is_churned
47,48,,190,190,10002,0
30,3,,120,120,40002,0
34,6,12,180,300,40004,0
31,12,30,120,60,100001,0
34,12,,60,30,100002,0
9,24,36,30,30,100003,0
35,35,,40,90,120001,0
25,39,,30,120,120002,0
42,32,,60,120,120003,0
32,30,66,60,180,120004,0
52,34,,30,90,300001,1
69,15,28,60,150,300002,0
78,27,30,150,110,300003,1
69,23,,60,120,310002,1
68,26,25,60,180,310003,0
65,14,,0,150,340002,0
68,2,,30,60,360001,0
45,24,,30,40,360002,0
63,21,4,60,60,380001,1
62,25,,120,180,380002,1
41,18,9,60,120,390002,0
44,38,12,10,30,390004,0
35,3,24,120,120,410003,1
105,14,60,90,180,420002,1
35,36,24,60,180,440003,0
23,48,24,90,180,440004,0
75,4,27,60,60,460001,0
60,8,,60,60,460002,0
65,14,,60,120,490001,0
60,18,31,120,180,490003,0
70,3,,120,240,520001,0
65,18,26,120,120,530003,1
70,14,,40,50,540003,1
67,4,,30,120,550002,1
70,5,,100,120,550003,0
50,24,60,90,180,560001,0
60,7,60,90,180,560002,0
65,12,4,60,120,590001,0
70,24,12,60,60,600005,1
50,3,5,60,120,610001,0
85,15,,150,60,630001,0
70,14,,90,90,630002,0
47,24,,80,80,660002,0
55,17,,30,30,730002,0
43,5,,60,120,750002,1
52,29,,60,120,830001,0
55,15,,40,30,830002,0
69,15,,90,120,830003,0
55,7,,120,180,890004,0
55,4,60,120,120,900002,0
69,2,,90,90,900003,0
55,16,50,90,90,900004,0
55,37,,20,90,930004,1
55,17,,120,240,950004,1
58,24,,120,180,960001,1
33,9,24,120,130,1010003,0
33,9,,110,110,1010004,0
55,62,12,120,270,1080003,1
58,18,,150,60,1100002,1
45,50,88,60,210,1120002,1
55,61,86,30,120,1120003,0
55,19,100,150,242,1160001,1
55,13,97,210,420,1160003,1
33,38,,60,120,1170001,1
33,37,,60,120,1170002,1
75,27,36,30,120,1170003,0
65,29,,150,60,1180002,0
53,15,14,30,30,1180003,0
60,31,,60,90,1210004,1
50,28,,20,60,1310001,0
55,5,,20,40,1310002,0
60,24,,30,40,1320101,0
50,37,,30,60,1320102,0
45,33,24,120,120,1340001,0
72,21,,60,180,1510003,0
25,6,,40,120,1520002,1
24,27,38,80,120,1520004,0
35,2,,40,90,1520005,0
32,25,8,90,180,1540002,0
70,27,,60,180,1540003,0
50,7,,120,180,1570001,0
57,10,,180,180,1600001,1
37,21,,120,120,1610001,0
37,21,,60,120,1610002,0
34,41,,90,90,1620001,0
56,19,24,120,240,1670001,1
35,41,24,120,180,1670002,1
33,16,24,30,30,1670003,1
40,32,6,90,120,1690001,0
41,32,6,120,180,1690002,0
32,36,24,60,150,1700001,0
32,5,24,120,120,1700002,0
27,7,24,60,120,1700003,1
34,45,,60,60,1720001,1
34,31,,60,120,1720002,1
55,24,,180,180,1720003,1
55,24,,120,180,1740001,1
55,36,,90,570,1740003,0
54,29,,120,180,1760004,0
55,20,,360,360,1770001,1
65,17,,300,300,1770002,1
40,12,,180,180,1800001,1
50,42,,210,180,1800002,1
54,24,,120,120,1840001,1
63,2,,30,60,1850001,0
30,24,,240,360,1850004,0
35,12,,180,300,1870003,0
54,14,,180,180,1880001,0
54,12,,60,120,1880002,0
75,4,3,180,180,1990003,0
56,3,,120,120,2000005,0
70,5,38,180,240,2010002,0
48,6,,60,60,2030001,0
48,4,,120,180,2030002,0
70,3,,120,180,2070003,0
75,14,,60,60,2080004,0
60,6,,180,180,2110003,0
65,14,,180,240,2140004,1
45,20,30,120,180,2170001,1
45,18,30,60,180,2170002,1
62,3,,120,180,2180003,0
60,3,24,180,240,2190001,0
55,3,24,120,180,2190002,0
30,6,24,120,180,2190003,1
65,17,41,120,180,2220003,0
32,8,,120,30,2340001,1
32,8,36,30,60,2340002,0
20,12,36,60,240,2340003,0
20,24,36,180,300,2340004,0
29,35,,150,180,2420002,1
85,5,,90,120,2450001,0
100,24,,60,90,2450002,0
50,9,30,150,180,2450003,0
50,9,18,120,150,2450004,0
35,7,21,0,120,2450005,0
72,24,60,180,30,2620001,0
93,28,48,120,240,2620002,0
42,72,60,0,60,2620003,0
70,6,,120,180,2640001,1
55,24,,60,120,2640002,1
70,12,,60,120,2640004,0
50,6,,180,120,2700002,1
60,6,60,120,90,2700003,0
60,6,,60,60,2800001,1
50,6,,90,60,2800002,0
65,18,12,90,60,2810001,0
60,18,,90,120,2820001,0
45,6,,120,60,2820003,0
60,6,,90,90,2830001,1
50,6,,120,90,2830002,0
60,3,,120,60,2830003,0
38,40,,30,45,3070002,0
67,33,,50,90,3100003,0
55,17,,120,90,3110002,0
50,30,20,60,150,3110003,0
46,33,6,90,60,3120002,1
50,48,,120,90,3120003,1
57,12,42,90,120,3170003,0
65,24,12,30,30,3180003,0
65,17,7,40,40,3190002,0
65,12,7,30,30,3190003,1
70,1,,120,240,3240001,0
67,19,,100,160,3250001,0
68,5,,150,230,3250002,0
69,5,5,120,180,3260001,0
72,3,26,120,180,3270002,0
64,24,,180,240,3280002,1
61,17,,40,80,3300001,1
64,4,,110,120,3300002,1
56,18,7,60,120,3300003,0
68,3,,40,240,3310001,0
41,20,,50,110,3350001,0
39,25,24,50,90,3350002,0
108,10,,290,600,3390101,0
108,6,11,180,300,3390102,0
108,7,,600,240,3390104,0
28,5,,160,150,3390105,0
70,24,,60,60,3420001,1
50,24,24,60,30,3420003,0
60,27,,180,180,3420004,0
37,8,,180,180,3440001,1
40,28,,120,120,3440002,1
25,13,,150,90,3440003,1
48,36,30,60,180,3460003,0
33,20,6,60,150,3460004,1
60,12,,20,20,3720003,0
60,12,,20,20,3730004,0
85,24,,120,180,3990001,0
85,12,,60,180,3990003,0
95,5,50,120,180,4060001,1
55,19,60,240,360,4060002,1
22,24,60,300,360,4060004,1
47,50,24,90,30,4080001,1
42,72,,60,60,4080002,0
21,33,,30,30,4110002,0
44,1,36,120,240,4110004,0
79,18,,120,240,4140001,0
49,18,,180,300,4140002,0
43,24,14,150,240,4140003,0
33,24,14,90,180,4140004,0
45,12,,60,90,4220001,1
45,12,,90,60,4220002,1
60,32,,120,60,4240002,1
60,12,,120,120,4240003,0
50,2,,120,120,4250003,1
40,30,,150,180,4270001,1
103,22,,40,30,4280001,1
33,22,,0,120,4280002,0
65,8,,180,240,4290003,0
70,6,42,120,180,4330003,0
59,6,,60,60,4340001,1
58,5,,120,180,4340002,1
59,3,,60,120,4390001,1
58,4,,120,120,4390002,1
62,21,4,60,60,4430001,0
63,25,,60,90,4430002,0
45,3,,15,15,4470002,0
50,5,,10,10,4500001,0
50,7,,10,10,4500002,0
50,7,,10,10,4520001,0
50,7,,10,10,4520002,1
60,6,12,60,60,4570003,0
24,34,,60,60,4610001,1
10,38,,240,360,4610002,0
35,36,56,90,150,4690003,1
55,6,7,0,60,4730003,0
53,4,,30,60,4730004,0
67,7,33,120,120,4820001,0
33,36,33,180,240,4820002,0
59,15,30,240,480,4980001,0
45,20,,390,420,4980002,1
19,30,,240,240,4980003,1
69,6,,30,60,4990001,0
20,13,36,30,60,4990002,0
51,1,36,299,300,4990003,1
50,18,,180,180,5010003,1
28,36,,30,60,5030001,1
27,36,,40,20,5030002,0
74,19,,90,120,5090001,1
54,18,,150,180,5090002,1
85,6,48,60,120,5190002,0
50,36,,30,30,5220002,0
42,12,,180,240,5220008,0
7,19,,180,300,5220101,1
48,49,36,180,180,5220102,1
30,18,,30,30,5220201,0
45,3,,120,180,5220301,0
50,24,,90,120,5220302,0
78,15,,120,180,5220401,0
42,5,,240,180,5260004,0
47,4,,120,120,5280003,1
35,36,,60,60,5320001,1
35,12,,60,60,5320002,1
45,15,,120,180,5320004,0
52,8,,120,150,5340001,0
55,10,,60,30,5340002,0
69,27,,120,120,5340003,0
55,8,,90,180,5350003,0
55,17,,60,120,5360003,1
30,36,24,50,120,5380001,0
85,8,12,20,60,5380002,1
30,48,12,120,120,5380003,1
35,24,12,300,360,5380004,1
35,25,,0,180,5400002,0
23,48,,60,180,5400003,0
20,15,,30,60,5400004,0
55,24,,90,120,5410005,1
22,58,,60,180,5430001,0
28,34,29,20,30,5430003,0
55,22,,90,120,5440001,0
38,30,12,30,50,5530004,0
50,9,,120,180,5720004,0
60,24,,120,60,5740001,1
50,24,,120,60,5740002,0
36,54,,60,120,5800002,0
58,15,,30,90,5860003,1
33,20,,120,150,5930001,1
55,26,14,120,180,5930004,0
35,10,36,60,60,6030001,0
35,4,36,60,120,6030002,0
35,8,36,60,60,6030004,0
35,31,,60,60,6070001,1
35,20,,60,120,6070002,0
30,8,27,50,90,6120001,0
17,12,22,30,120,6120002,0
130,29,12,60,60,6150002,1
